228735667216_10154322361837217,Watch Donald Trump become the 45th President of the United States.,Donald Trump's inauguration,video,https://www.facebook.com/bbcnews/videos/10154322361837217/,2017-01-20 10:31,258891,128915,40916,124043,46718,4388,7979,19584,56179
2017-01-20T16:25:52+0000,"Earlier today a reporter shouted to Obama, ""Any last words for the American people?"" He just replied, ""Thank you.""",0,0.9
2017-01-20T16:55:14+0000,Mike Pence has just been sworn in. Now officially US Vice President.,0.4,0.9
2017-01-20T15:53:13+0000,"All the living former presidents, except George H W Bush, who is in hospital are present for the inauguration.",0.1,0.1
2017-01-20T16:46:11+0000,This music is by the Missouri State University Chorale,0.3,0.3
2017-01-20T16:00:14+0000,"Sitting on the podium, Hillary Clinton, the woman who wanted to become 45th President of the United States",0,0
2017-01-20T16:12:26+0000,Anyone else only watching to see if he gets assassinated?,-0.1,0.1
2017-01-20T15:34:12+0000,"as an american, i am so upset today. as a social worker, i am worried. as a mother I am terrified. as a human i am disheartened. We shall prevail though, progress is measured in years... not moments.",-0.2,1.8
2017-01-20T16:34:45+0000,"I didn't vote for Trump,  but I will keep an open mind and give him a chance to lead. There is zero point in complaining the next 4 years. It accomplishes nothing. We have to work together. We're going to be ok.",0,1.2
2017-01-20T16:27:41+0000,"Barack Obama, I already miss you as president. Good bless you and your family. Michelle thanks a lot for been such an amazing and beautiful woman.",0.5,1.7
2017-01-20T16:22:42+0000,Obama the Best president we will ever have. Job WELL DONE President Obama!!!!!,0.8,1.6
2017-01-20T17:08:56+0000,Ok I have to laugh because he wants to give power to the people yet he actually lost the popular vote which means if we had the power he wouldn't be there.,-0.1,0.1
2017-01-20T17:08:35+0000,"Heavenly Father protect this man, his family and those he surrounds himself with.  May he truly have American's best welfare in his heart and mind. Amen",0.6,2
2017-01-20T16:38:17+0000,Truth is... It's Time for change!  Give him a chance... if your not happy get up and be ready to vote in 4 Years!!!! Until then.... Welcome Your President!,0.1,1.8
2017-01-20T17:14:14+0000,"Buy american and hire american....says the guy with 2 foreign wifes,and 100 of employees from other countries....what a joke.",-0.7,0.7
2017-01-20T17:09:14+0000,"So much negativity! Wether you like it or not, we have to come together! Give the guy a chance, he is our president, like it or not!",0,0.2
2017-01-20T16:11:04+0000,Lets play a game if you find a black person in the crowd you win a cookie,0.4,0.4
2017-01-20T17:06:57+0000,Please log off cry baby's. This is a great day for America. You can always leave if you don't like it.  I'm sure you'd we welcomed in Mexico or Canada. Cya,0.1,2
2017-01-20T17:09:13+0000,I voted for him and I stand behind him for the sake of our country I hope he proves all you haters so wrong that you choke on your words. Make America great again! God bless America ,0.4,1.2
2017-01-20T17:14:24+0000,Congrats to those who elected a cruel man who is sexist and just a reality TV celebrity. I'm nauseated with pride over this prejudice person who mocks those lower than him.,-0.3,0.7
2017-01-20T16:02:31+0000,The Hunger Games start next week - good luck to your District.,0,0
2017-01-20T17:05:11+0000,What a hypocrite! Laying into the elite while he's living in a gold plated penthouse and giving the top 1% MASSIVE tax cuts!,-0.3,0.7
2017-01-20T16:33:57+0000,"OMG AMERICA; grow the f*** up; this is happening and you Millennials need to get over it.  This is American History taking place!  . If you don't like it, get the f*** out!!!",-0.1,0.6
2017-01-20T16:23:40+0000,Thank you Michelle Obama no one will ever be able to replace you.  We love you and admire you.  Thank you for being a great role model to our girls.,0.6,2
2017-01-20T16:36:28+0000,This president didn't win the popular vote. The electoral college needs to be changed.,-0.3,0.7
2017-01-20T15:38:24+0000,America will now have the dumbest president in the world.,-0.5,0.5
2017-01-20T16:31:43+0000,Thank you President Obama for serving us with such class and integrity. You and your wonderful family will be greatly missed.,0.7,1.5
2017-01-20T16:45:10+0000,Everyone needs to settle down and support our President. If you don't like it move to another country. This is the USA  BE PROUD WHO WE ARE!!!!,0.2,1.7
2017-01-20T17:20:11+0000,Don't let this distract you from the fact that Slytherin blew a 472 to 312 point lead to Gryffindor for the House Cup during the trophy presentation ceremony at Hogwarts back in 1992.,-0.6,0.6
2017-01-20T17:07:33+0000,"America already is going to save $44,351,777.12 that the Obama's used in our tax money on their vacations alone!!! ",0.1,0.1
2017-01-20T17:11:24+0000,I actually feel like I'm in a parallel universe? It feels like I'm watching a very poor quality b movie ...an American disaster movie ,-0.4,0.9
2017-01-20T16:29:23+0000,Thank you president Obama you have been such a good role model and will be missed so much! You will forever be one the best presidents! May god be with you when all this is over!,0.4,1.4
2017-01-20T17:04:55+0000,"HE'S FULL OF IT!!! His plans do nothing for the people, only the 1% (who by the way he's nominated into his cabinet) WHAT A JOKE!",-0.3,1.1
2017-01-20T17:09:09+0000,That's funny coming from a man who has had many products manufactured overseas and who has chosen someone for the Department of Education who didn't know that IDEA was Federal Law.,0.3,0.3
2017-01-20T16:10:51+0000,Ladies and gentlemen. Welcome to the 45th annual Hunger Games. And may the odds be ever in your favour.,0.2,0.7
2017-01-20T17:20:34+0000,He gave a good talk. Let us all be patient and see if he walks the walk. Everybody deserves a chance and he is now the one whether it is universally liked or not.,0.4,1.2
2017-01-20T16:34:59+0000,I wonder how many of the haters on here live off of welfare!!!!!,0.5,0.5
2017-01-20T16:09:19+0000,"As an American, I am officially in mourning for my country.",-0.2,0.2
2017-01-20T17:17:45+0000,He is our president....and hoping for him to fail is like hoping for your planes pilot to crash.   Everyone needs to pull themselves together!,-0.1,0.7
2017-01-20T15:41:52+0000,"As an English born American citizen, I'm embarrassed about who we are placing into office today. But coming home to Brexit not a great choice either",-0.5,1
2017-01-20T17:13:10+0000,"1/20/2017 the beginning of Making America Great Again! WE all need to Support this man and give him a Chance! United as One! No matter what Color, Race, or Religion!",0.3,1.8
2017-01-20T17:08:12+0000,"It's like Tom Hanks said: ""I hope Trump does so well, that we vote him in for a second term."" I didn't vote for him, but I didn't for  Hillary either. But I really do hope he surprises everyone by being amazing.",0.2,1.6
2017-01-20T17:15:57+0000,"The bible yes, he is already using the bible in refer2. God which tells me God is at work here...Praise God and all his glory.",0.5,1
2017-01-20T16:28:22+0000,Thankyou Team Obamas for everything you have done. You will truly be missed! Team Obama for ever!,0.4,1.3
2017-01-20T16:35:10+0000,PRESIDENT ELECT!!!!!!!!!??????  NO!!!! Not us the people of the U.S... We elected Hillary,-0.3,1.6
2017-01-20T16:30:21+0000,Bill Clinton scanning the crowd for interns is classic.,0.4,0.4
2017-01-20T16:57:17+0000,I will always remember today as the day I bought my first radiohead ticket,0.3,0.3
2017-01-20T18:09:46+0000,Sad sad sad!!! By all knowing: not all American voted for this trash.,-0.7,1.4
2017-01-20T17:08:53+0000,"If you are a citizen in this country and pay taxes, he is your president. Get over it SNOWFLAKES !!!!",0,0.1
