5550296508_10156548798691509,"A car bomb targeting a convoy of foreign troops exploded near the US Embassy in Kabul on Wednesday, killing eight people, an Afghan official said.",Car bomb kills eight people near US Embassy in Kabul,link,http://cnn.it/2p7qO2R,2017-05-03 4:00,1172,194,221,727,10,62,3,325,45
comment: ,dang,0,0
comment: ,Time for foreigners to leave. This has been going on long enough now.,0.2,0.4
comment: ,woow,0.8,0.8
comment: ,Aboriginals think the same thing. So do Native Americans.,0,0.3
comment: ,when shall Moslems stop these acts of terrorism??? may be until they all convert into Christianity!!!,-0.5,0.5
comment: ,this is so sad,-0.4,0.4
comment: ,,0,0
comment: ,What has this to do with religion? Fool.,-0.3,0.7
comment: ,"Oh my Goodness, May their souls rest in perfect peace !!!",0.6,0.6
comment: ,You sound insane,0.1,0.1
comment: ,Yeah the foreigners should leave Afghanistan.,0.2,0.2
comment: ,kaboom in kabul,0.1,0.1
comment: ,"To be fair, violent people are violent no matter what their religion. Have you ever seen the bloodshed that Christians have done?

http://www.islam101.com/terror/christianViolence.htm",-0.2,0.9
comment: ,oh my gosh. that country is completely ruin. it is because their government is weak. this problem is already decades but they cannot defeat terrorism. their governemnt officials too in afghanistan is corrupt. poor souls.  #RIP,-0.6,3.7
comment: ,Will there ever be peace or are we all just headed for doom still consumed by the beast? R.I.P. to the fallen.,-0.1,0.3
comment: ,Who ever reacted with love to this ...it should have been you,0.3,0.3
comment: ,"poor sweden. muslims influx with that country. and guess what, they wanted to imposed sharia law there. :(",-0.3,1.5
comment: ,The religion of peace at it again. Nothing new,0,0.6
comment: ,Lina Santos LOL!!,0.5,0.5
comment: ,im not sure the problem is about weak government. terrorism is like a norma in that region. even a good government would need a lengthy period of time to take it down to at least 30%,-0.2,0.8
comment: ,You mean the screwed up country that Bernie praised!,0,0
comment: ,"Yeah buddy, that's gonna happen.",0.3,0.3
comment: ,"ISIS claimed responsibility for the attack. In a statement posted by itsmedia arm Amaq, the terror group said one of its members targeted""a column of American forces."".     Search their religion (ISIS)",-0.1,0.6
comment: ,honestly speaking i think it is about religion,0,0
comment: ,Prayers for Kabul.,0.2,0.2
5550296508_10156548753151509,"The restrooms on these American Airlines planes will likely get smaller, too.",American Airlines is cutting more legroom in economy class,link,http://cnn.it/2p6Knbv,2017-05-03 3:32,5087,2050,1283,1236,19,617,183,168,2864
comment: ,,0,0
comment: ,"Next, they'll only fly toddlers, small people and first class. Then, include a catheter for your convenience.",0,0.1
comment: ,then do not fly with them. there are many airplanes out there. free to choose.,0,0.9
comment: ,Wow,0.4,0.4
comment: ,I know who I'm not flying.,-0.6,0.6
comment: ,Evil.,-0.1,0.1
comment: ,Might as well just fly economy passengers on cargo flights. Stack them like canned goods.,0.1,0.2
comment: ,https://www.redbubble.com/people/byrnenyc/works/25012222-no-trump?p=t-shirt&style=mens&body_color=black&print_location=front,0.1,0.1
comment: ,Classic... Let's find a way and blame Trump and Russia for this.,0.5,1.1
comment: ,no need to complain. don't fly with them. period .,0.1,1
comment: ,They lost my business.,-0.7,0.7
comment: ,Why are you paying too much attention to airlines?,-0.5,0.5
comment: ,Yea lets just make our customers even more uncomfortable while we charge them ridiculous prices. Makes sense,-0.1,1
comment: ,Thank God Southwest is coming to Cincinnati!,0.4,0.4
comment: ,And they wonder why people are so cranky on airplanes and fights are breaking out.  :(,-0.6,0.6
comment: ,Best to avoid all American owned airlines and code shares,0.7,0.7
comment: ,"What's next? Punch your costumers on the face?, oh, wait..",-0.1,0.3
comment: ,Now w e need family planes and planes for people 10 lbs or more over their medically suggested healthy weight. A world of opportunity for Uber wealthy people looking to make really expensive things.,0.2,0.5
comment: ,I won''t be booking with them unless their prices go down considerably. There's already not much room.,-0.6,1.3
comment: ,hahaha I bet,0.4,0.4
comment: ,How in the world can the bathrooms get smaller???,-0.2,0.2
comment: ,If you dont fit into the plane then dont fly with them...,-0.4,0.4
comment: ,"So what? Don't like it, don't use their services. Why is this news?",-0.4,1.3
comment: ,Sounds like we need a grassroots movement to drop their shares a billion or so in losses to correct this,-0.5,0.5
comment: ,I am really hating airlines right now.,-0.1,0.1
comment: ,And they'll blame americans for it. worsening the situation. Leave these people alone. they are tired of americans.,-0.1,1
comment: ,the religion of peace,0.1,0.1
comment: ,Thanks to terrorists supplied by Pakistan,0.7,0.7
comment: ,LEAVE THESE PEOPLE ALONE...THEY DONT NEED TO AMERCA,-0.6,0.6
comment: ,TRUMP MUST SHUTDOWN ALL AMERCAN BASES N WORLD...,0.2,0.2
comment: ,"Exactly. They should be more like Christians.

http://www.islam101.com/terror/christianViolence.htm",0.2,0.7
comment: ,And then,0,0
comment: ,Dradji,0.1,0.1
comment: ,Hahahahahahahahahahahahahahaha yeah right. See a doctor please.,0,0.4
comment: ,"All religion needs to go tbh but yes, Islam has problematic scripture as does Christianity. The difference is Americans have socially progressed including education and a higher standard of living than most in Afghanistan. Christians did and would do the same thing if they were under the same duress.",0,1
comment: ,appalling.  When civics get killed it's a crime.,-0.4,0.8
comment: ,"Where was Bin Laden hiding? Where is Ayman al-zawahiri hiding? Who is harboring Taliban, JuD, LeT, JeM? I know you will not reply",-0.4,1.9
